id;quantity;unit_price;total_price
ac66cba2-5830-4279-a5d2-f12604d40b40;12043;485.3;13473.11
596291fd-6554-44d7-9d10-5a035b94abb9;25710;22643.58;18578.97
b7f5b779-e314-47d2-bcb7-e30a1ddd6c0c;20353;21343.11;21871.36
6b6ca2db-9a0c-4e04-ad6b-fb0d21b58342;4592;22524.51;15411.41
3ac4111a-2d46-4d6f-819b-d48ae8167eab;1622;11065.74;20597.7
efb4fd83-2778-4852-889c-de30c34a2c11;2124;2100.6;20049.51
f7abf353-aafd-4174-b35b-5e151434c5ed;13491;4169.04;29625.72
a6087f7a-2fcf-404a-87e3-7bef550f8ea8;17608;21102.95;19660.95
2e54f6ba-113b-40c3-9fa7-190fab03ab7e;28097;29675.93;17007.76
b57c2c12-a92e-4d9f-95c8-7b258062b1ca;1947;15961.44;14954.84
