id;shift_name;start_time;end_time;shift_date;is_active
1eb2c0db-0146-4d73-985f-6ae60aae7930;democratize;20:23:00;16:40:00;2025-12-28;false
3b4b5248-fb1e-4ce7-a2f1-95099307a03b;cork;20:26:00;06:04:00;2025-12-27;true
d55cd540-329b-4204-8dbc-7ce7b461ec33;hyphenation swiftly;13:39:00;05:05:00;2025-12-27;true
18af5d71-494c-4db2-a660-1f70b6b3014f;phony thin;22:23:00;02:34:00;2025-12-27;true
5335fd5e-ea88-4454-8724-2ae0b3235d3d;meh blah;21:40:00;20:17:00;2025-12-27;false
7de1d331-d7c9-4f11-839f-607caefff878;even;23:20:00;04:46:00;2025-12-27;false
2fac2f79-e3f5-4643-b414-de4d2b1f2060;for till;21:29:00;21:26:00;2025-12-27;false
a50637cc-544d-41dd-bc24-ddf2307b0c44;provided;16:42:00;06:21:00;2025-12-27;true
1d4f44c4-4d5d-4e59-97c9-2b14bb7bdb2c;except;03:41:00;07:55:00;2025-12-27;false
fb6a963a-68f5-4295-a324-51577c04a2b5;mmm mixed ha;14:11:00;23:38:00;2025-12-28;true
