id;assignment_date;start_time;end_time;is_active
a9a6291f-a5fe-4bb0-80e5-7a1f718b01e9;2025-12-27;2025-12-27T13:06:16;2025-12-27T06:08:15;true
18b39e30-2bcd-41c2-a353-5ceb164ffbb4;2025-12-27;2025-12-27T23:42:05;2025-12-27T20:49:12;false
529d6100-5b08-4415-855f-9ad2f46673b2;2025-12-27;2025-12-27T23:56:37;2025-12-27T07:35:21;false
fa67eb8f-db7f-4290-8ff9-2f1da0cdd0b5;2025-12-27;2025-12-27T12:57:48;2025-12-28T02:39:00;false
2c004751-2295-41a2-9de9-f49f8f84f74a;2025-12-28;2025-12-27T10:05:22;2025-12-28T04:03:39;false
653089dc-6085-46d3-8d30-283c2922601f;2025-12-27;2025-12-27T21:43:33;2025-12-27T16:59:51;false
3353aeb4-f6db-4087-bdea-1d4d0e6b56fe;2025-12-27;2025-12-27T15:43:13;2025-12-27T06:27:25;true
fc72fcac-42d1-4411-ba23-55f3e03b7924;2025-12-28;2025-12-28T00:43:48;2025-12-27T08:53:45;false
bc563792-7852-413c-b78c-f748a4a9e366;2025-12-27;2025-12-27T18:40:47;2025-12-27T09:25:15;false
a0f48db7-2f53-43bf-a6cb-0bfe9baefcf2;2025-12-27;2025-12-27T13:19:02;2025-12-27T08:20:32;true
