id;assignment_date;start_time;end_time;is_active
e8c5bfb8-7412-4038-a20d-d7b03ccce570;2025-12-27;2025-12-27T19:54:23;2025-12-27T14:49:19;false
0a9d2455-ca39-43a2-8964-b367ad383a4a;2025-12-27;2025-12-27T14:29:06;2025-12-27T13:45:52;false
3687d07b-5bd0-4a9c-b47f-72b6783014c2;2025-12-27;2025-12-27T17:46:51;2025-12-28T02:28:14;false
4018ab25-3d3a-46d2-95a6-0271c5ae7900;2025-12-28;2025-12-28T04:18:03;2025-12-27T05:51:47;true
a34dd9b3-4beb-433a-be4c-094324753c49;2025-12-27;2025-12-27T19:00:04;2025-12-27T10:20:48;true
d55e8e62-6c30-43c5-9730-6b8a2d231bc4;2025-12-28;2025-12-28T04:37:00;2025-12-27T23:32:33;false
8b44001c-cf84-480a-9283-a7b75bd2e365;2025-12-27;2025-12-27T11:18:04;2025-12-27T21:27:47;true
44155cf8-2ebe-487b-aea1-c3796a6d1388;2025-12-27;2025-12-28T01:56:49;2025-12-27T10:27:48;true
33a3d1a3-3554-4b6f-97c6-49c852f51feb;2025-12-27;2025-12-27T23:46:25;2025-12-27T10:27:07;true
3ba932f1-9518-4ff5-99b3-e4f79f405373;2025-12-27;2025-12-27T23:25:42;2025-12-27T08:45:58;false
